Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TimKiem,Chrome 120.0.0.0,,,2024-01-11 12:28:09,2024-01-11 12:29:37,1m - 28.331s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 12:28:09,2024-01-11 12:28:22,12.943s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 12:28:09,2024-01-11 12:28:13,3.972s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 12:28:13,2024-01-11 12:28:17,4.069s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 12:28:17,2024-01-11 12:28:18,0.748s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 12:28:18,2024-01-11 12:28:20,1.344s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 12:28:20,2024-01-11 12:28:21,1.503s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 12:28:21,2024-01-11 12:28:22,0.950s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 12:28:22,2024-01-11 12:28:31,9.489s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 12:28:22,2024-01-11 12:28:24,1.626s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 12:28:24,2024-01-11 12:28:27,3.558s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 12:28:27,2024-01-11 12:28:28,1.188s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 12:28:28,2024-01-11 12:28:30,1.341s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 12:28:30,2024-01-11 12:28:31,1.077s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 12:28:31,2024-01-11 12:28:31,0.683s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 12:28:32,2024-01-11 12:28:41,9.111s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 12:28:32,2024-01-11 12:28:33,1.621s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 12:28:33,2024-01-11 12:28:37,3.562s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 12:28:37,2024-01-11 12:28:37,0.783s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 12:28:37,2024-01-11 12:28:39,1.225s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 12:28:39,2024-01-11 12:28:40,1.193s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 12:28:40,2024-01-11 12:28:41,0.715s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 12:28:41,2024-01-11 12:28:50,9.274s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 12:28:41,2024-01-11 12:28:42,1.635s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 12:28:42,2024-01-11 12:28:45,3.193s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 12:28:45,2024-01-11 12:28:47,1.225s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 12:28:47,2024-01-11 12:28:48,1.501s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 12:28:48,2024-01-11 12:28:49,1.041s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 12:28:49,2024-01-11 12:28:50,0.671s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 12:28:50,2024-01-11 12:29:05,15.425s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 12:28:50,2024-01-11 12:28:52,1.678s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 12:28:52,2024-01-11 12:29:01,9.179s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 12:29:01,2024-01-11 12:29:02,0.802s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 12:29:02,2024-01-11 12:29:03,1.723s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 12:29:03,2024-01-11 12:29:05,1.286s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 12:29:05,2024-01-11 12:29:05,0.743s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 12:29:05,2024-01-11 12:29:19,13.642s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 12:29:05,2024-01-11 12:29:07,1.660s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 12:29:07,2024-01-11 12:29:10,3.235s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 12:29:10,2024-01-11 12:29:12,1.502s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 12:29:12,2024-01-11 12:29:16,3.960s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 12:29:16,2024-01-11 12:29:18,2.616s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 12:29:18,2024-01-11 12:29:19,0.658s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 12:29:19,2024-01-11 12:29:28,9.012s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 12:29:19,2024-01-11 12:29:21,1.595s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 12:29:21,2024-01-11 12:29:24,3.493s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 12:29:24,2024-01-11 12:29:25,0.569s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 12:29:25,2024-01-11 12:29:26,1.500s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 12:29:26,2024-01-11 12:29:27,1.180s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 12:29:27,2024-01-11 12:29:28,0.663s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 12:29:28,2024-01-11 12:29:37,8.888s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 12:29:28,2024-01-11 12:29:30,1.640s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 12:29:30,2024-01-11 12:29:33,3.484s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 12:29:33,2024-01-11 12:29:34,0.633s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 12:29:34,2024-01-11 12:29:35,1.455s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 12:29:35,2024-01-11 12:29:36,1.012s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 12:29:36,2024-01-11 12:29:37,0.654s,PASSED
